gene;anchor_index
V01577|IGKV1-12*01|Homo sapiens|F|V-REGION|1360..1646|287 nt|1| | | | |287+0=287| | |;261
V01576|IGKV1-12*02|Homo sapiens|F|V-REGION|1361..1647|287 nt|1| | | | |287+0=287| | |;261
Z00010|IGKV1-13*01|Homo sapiens|P|V-REGION|619..905|287 nt|1| | | | |287+0=287| | |;261
Z00006|IGKV1-13*02|Homo sapiens|F|V-REGION|939..1225|287 nt|1| | | | |287+0=287| | |;261
J00248|IGKV1-16*01|Homo sapiens|F|V-REGION|322..608|287 nt|1| | | | |287+0=287| | |;261
FM164406|IGKV1-16*02|Homo sapiens|[F]|V-REGION|1..287|287 nt|1| | | | |287+0=287| | |;261
X72808|IGKV1-17*01|Homo sapiens|F|V-REGION|588..874|287 nt|1| | | | |287+0=287| | |;261
D88255|IGKV1-17*02|Homo sapiens|F|V-REGION|842..1128|287 nt|1| | | | |287+0=287| | |;261
KM455566|IGKV1-17*03|Homo sapiens|F|V-REGION|186..472|287 nt|1| | | | |287+0=287| | |;261
X63398|IGKV1-27*01|Homo sapiens|F|V-REGION|513..799|287 nt|1| | | | |287+0=287| | |;261
M64856|IGKV1-33*01|Homo sapiens|F|V-REGION|321..607|287 nt|1| | | | |287+0=287| | |;261
X59315|IGKV1-39*01|Homo sapiens|F|V-REGION|324..610|287 nt|1| | | | |287+0=287| | |;261
X59318|IGKV1-39*02|Homo sapiens|P|V-REGION|841..1127|287 nt|1| | | | |287+0=287| | |;267
Z00001|IGKV1-5*01|Homo sapiens|F|V-REGION|488..774|287 nt|1| | | | |287+0=287| | |;261
M23851|IGKV1-5*02|Homo sapiens|F|V-REGION|483..769|287 nt|1| | | | |287+0=287| | |;261
X72813|IGKV1-5*03|Homo sapiens|F|V-REGION|45..331|287 nt|1| | | | |287+0=287| | |;261
M64858|IGKV1-6*01|Homo sapiens|F|V-REGION|323..609|287 nt|1| | | | |287+0=287| | |;261
KM455558|IGKV1-6*02|Homo sapiens|F|V-REGION|187..473|287 nt|1| | | | |287+0=287| | |;261
Z00014|IGKV1-8*01|Homo sapiens|F|V-REGION|1142..1428|287 nt|1| | | | |287+0=287| | |;261
Z00013|IGKV1-9*01|Homo sapiens|F|V-REGION|881..1167|287 nt|1| | | | |287+0=287| | |;261
