gene;anchor_index
AE000658|TRAV1-1*01|Homo sapiens|F|V-REGION|128090..128364|275 nt|1| | | | |275+0=275| | |;261
X04939|TRAV1-1*02|Homo sapiens|(F)|V-REGION|52..320|269 nt|1| | | | |269+0=269| | |;261
AE000658|TRAV1-2*01|Homo sapiens|F|V-REGION|149176..149450|275 nt|1| | | | |275+0=275| | |;261
AE000659|TRAV10*01|Homo sapiens|F|V-REGION|81133..81412|280 nt|1| | | | |280+0=280| | |;267
AE000659|TRAV11*01|Homo sapiens|P|V-REGION|85121..85397|277 nt|1| | || |277+0=277| | |;267
AE000659|TRAV12-1*01|Homo sapiens|F|V-REGION|96856..97129|274 nt|1| | | | |274+0=274| | |;261
M17657|TRAV12-1*02|Homo sapiens|(F)|V-REGION|67..340|274 nt|1| | || |274+0=274| | |;261
AE000659|TRAV12-2*01|Homo sapiens|F|V-REGION|143579..143855|277 nt|1| | | | |277+0=277| | |;264
M81774|TRAV12-2*02|Homo sapiens|(F)|V-REGION|67..339|273 nt|1| | || |273+0=273| | |;264
X04946|TRAV12-2*03|Homo sapiens|(F)|V-REGION|1..252|252 nt|1| | | | |252+0=252|partial in 5'| |;240
AE000659|TRAV12-3*01|Homo sapiens|F|V-REGION|221187..221463|277 nt|1| | | | |277+0=277| | |;264
M17656|TRAV12-3*02|Homo sapiens|(F)|V-REGION|67..343|277 nt|1| | | | |277+0=277| | |;264
AE000659|TRAV13-1*01|Homo sapiens|F|V-REGION|124440..124719|280 nt|1| | | | |280+0=280| | |;267
X04954|TRAV13-1*02|Homo sapiens|(F)|V-REGION|58..337|280 nt|1| | || |280+0=280| | |;267
AE000659|TRAV13-2*01|Homo sapiens|F|V-REGION|173825..174104|280 nt|1| | | | |280+0=280| | |;267
M17658|TRAV13-2*02|Homo sapiens|(F)|V-REGION|48..324|277 nt|1| | | | |277+0=277| | |;267
M21626|TRAV14/DV4*01|Homo sapiens|F|V-REGION|226..515|290 nt|1| | | | |290+0=290| | |;273
AE000659|TRAV14/DV4*02|Homo sapiens|F|V-REGION|179711..180000|290 nt|1| | | | |290+0=290| | |;273
