gene;anchor_index
L36092|TRBV1*01|Homo sapiens|P|V-REGION|91723..92006|284 nt|1| | | | |284+0=284| | |;267
L36092|TRBV10-1*01|Homo sapiens|F|V-REGION|214801..215087|287 nt|1| | | | |287+0=287| | |;270
AF009660|TRBV10-1*02|Homo sapiens|F|V-REGION|54913..55199|287 nt|1| | || |287+0=287| | |;270
L36092|TRBV10-2*01|Homo sapiens|F|V-REGION|239867..240153|287 nt|1| | | | |287+0=287| | |;270
U17048|TRBV10-2*02|Homo sapiens|[F]|V-REGION|1..217|217 nt|2| | | | |217+0=217|partial in 5'| |;213
U03115|TRBV10-3*01|Homo sapiens|F|V-REGION|14880..15166|287 nt|1| | | | |287+0=287| | |;270
U17047|TRBV10-3*02|Homo sapiens|F|V-REGION|81..367|287 nt|1| | | | |287+0=287| | |;270
L33101|TRBV10-3*03|Homo sapiens|[F]|V-REGION|1..273|273 nt|1| | | | |273+0=273| | |;270
L33102|TRBV10-3*04|Homo sapiens|[F]|V-REGION|1..273|273 nt|1| | | | |273+0=273| | |;270
M33233|TRBV11-1*01|Homo sapiens|F|V-REGION|747..1036|290 nt|1| | | | |290+0=290| | |;273
L36092|TRBV11-2*01|Homo sapiens|F|V-REGION|248813..249102|290 nt|1| | | | |290+0=290| | |;273
M33235|TRBV11-2*02|Homo sapiens|[F]|V-REGION|171..455|285 nt|1| | || |285+0=285|partial in 3'| |;273
X58796|TRBV11-2*03|Homo sapiens|(F)|V-REGION|81..365|285 nt|1| | | | |285+0=285| | |;273
U03115|TRBV11-3*01|Homo sapiens|F|V-REGION|25513..25802|290 nt|1| | | | |290+0=290| | |;273
X58797|TRBV11-3*02|Homo sapiens|(F)|V-REGION|103..387|285 nt|1| | || |285+0=285|partial in 3'| |;273
M62377|TRBV11-3*03|Homo sapiens|(F)|V-REGION|1..269|269 nt|3| | || |269+0=269|partial in 5' and in 3' | |;249
X07224|TRBV12-1*01|Homo sapiens|P|V-REGION|378..667|290 nt|1| | | | |290+0=290| | |;273
X06936|TRBV12-2*01|Homo sapiens|P|V-REGION|388..677|290 nt|1| | | | |290+0=290| | |;273
X07192|TRBV12-3*01|Homo sapiens|F|V-REGION|426..715|290 nt|1| | | | |290+0=290| | |;273
K02546|TRBV12-4*01|Homo sapiens|F|V-REGION|158..447|290 nt|1| | | | |290+0=290| | |;273
M14264|TRBV12-4*02|Homo sapiens|(F)|V-REGION|58..345|288 nt|1| | | | |288+0=288| | |;273
X07223|TRBV12-5*01|Homo sapiens|F|V-REGION|392..681|290 nt|1| | | | |290+0=290| | |;273
U03115|TRBV13*01|Homo sapiens|F|V-REGION|6502..6788|287 nt|1| | | | |287+0=287| | |;270
M62378|TRBV13*02|Homo sapiens|(F)|V-REGION|128..409|282 nt|1| | | | |282+0=282| | |;270
X06154|TRBV14*01|Homo sapiens|F|V-REGION|283..572|290 nt|1| | | | |290+0=290| | |;273
