gene;anchor_index
M99641|IGHV1-18*01|Homo sapiens|F|V-REGION|188..483|296 nt|1| | | | |296+0=296| | |;285
HM855463|IGHV1-18*03|Homo sapiens|F|V-REGION|21..316|296 nt|1| | | | |296+0=296| | |;285
KC713938|IGHV1-18*04|Homo sapiens|F|V-REGION|392..687|296 nt|1| | | | |296+0=296| | |;285
X07448|IGHV1-2*01|Homo sapiens|F|V-REGION|269..564|296 nt|1| | | | |296+0=296| | |;285
X62106|IGHV1-2*02|Homo sapiens|F|V-REGION|163..458|296 nt|1| | | | |296+0=296| | |;285
X92208|IGHV1-2*03|Homo sapiens|F|V-REGION|160..455|296 nt|1| | || |296+0=296| | |;285
KF698733|IGHV1-2*04|Homo sapiens|F|V-REGION|393..688|296 nt|1| | | | |296+0=296| | |;285
HM855674|IGHV1-2*05|Homo sapiens|F|V-REGION|24..319|296 nt|1| | || |296+0=296| |rev-compl|;285
M99642|IGHV1-24*01|Homo sapiens|F|V-REGION|210..505|296 nt|1| | | | |296+0=296| | |;285
X62109|IGHV1-3*01|Homo sapiens|F|V-REGION|163..458|296 nt|1| | | | |296+0=296| | |;285
X62107|IGHV1-3*02|Homo sapiens|F|V-REGION|157..452|296 nt|1| | | | |296+0=296| | |;285
X92209|IGHV1-45*01|Homo sapiens|F|V-REGION|144..439|296 nt|1| | || |296+0=296| | |;285
AB019438|IGHV1-45*02|Homo sapiens|F|V-REGION|126317..126612|296 nt|1| | | | |296+0=296| | |;285
MG719320|IGHV1-45*03|Homo sapiens|F|V-REGION|126..421|296 nt|1| | | | |296+0=296| | |;285
X92343|IGHV1-46*01|Homo sapiens|F|V-REGION|295..590|296 nt|1| | | | |296+0=296| | |;285
J00240|IGHV1-46*02|Homo sapiens|F|V-REGION|402..697|296 nt|1| | | | |296+0=296| | |;285
L06612|IGHV1-46*03|Homo sapiens|F|V-REGION|266..561|296 nt|1| | | | |296+0=296| | |;285
M29809|IGHV1-58*01|Homo sapiens|F|V-REGION|293..588|296 nt|1| | | | |296+0=296| | |;285
AB019438|IGHV1-58*02|Homo sapiens|F|V-REGION|10875..11170|296 nt|1| | | | |296+0=296| | |;285
L22582|IGHV1-69*01|Homo sapiens|F|V-REGION|376..671|296 nt|1| | | | |296+0=296| | |;285
Z27506|IGHV1-69*02|Homo sapiens|F|V-REGION|1..294|294 nt|1| | | | |294+0=294| | |;285
M83132|IGHV1-69*04|Homo sapiens|F|V-REGION|406..701|296 nt|1| | | | |296+0=296| | |;285
X67905|IGHV1-69*05|Homo sapiens|F|V-REGION|1..294|294 nt|1| | | | |294+0=294| | |;285
L22583|IGHV1-69*06|Homo sapiens|F|V-REGION|376..671|296 nt|1| | | | |296+0=296| | |;285
Z14309|IGHV1-69*08|Homo sapiens|F|V-REGION|97..392|296 nt|1| | | | |296+0=296| | |;285
Z14307|IGHV1-69*09|Homo sapiens|F|V-REGION|97..392|296 nt|1| | | | |296+0=296| | |;285
Z14300|IGHV1-69*10|Homo sapiens|F|V-REGION|97..392|296 nt|1| | | | |296+0=296| | |;285
Z14296|IGHV1-69*11|Homo sapiens|F|V-REGION|97..392|296 nt|1| | | | |296+0=296| | |;285
Z14301|IGHV1-69*12|Homo sapiens|F|V-REGION|97..392|296 nt|1| | | | |296+0=296| | |;285
Z14214|IGHV1-69*13|Homo sapiens|F|V-REGION|55..350|296 nt|1| | | | |296+0=296| | |;285
KC713948|IGHV1-69*14|Homo sapiens|F|V-REGION|394..689|296 nt|1| | | | |296+0=296| | |;285
MG719326|IGHV1-69*15|Homo sapiens|F|V-REGION|127..422|296 nt|1| | | | |296+0=296| | |;285
MG719328|IGHV1-69*16|Homo sapiens|F|V-REGION|127..422|296 nt|1| | | | |296+0=296| | |;285
KF698734|IGHV1-69-2*01|Homo sapiens|F|V-REGION|393..688|296 nt|1| | | | |296+0=296| | |;285
KC713934|IGHV1-69D*01|Homo sapiens|F|V-REGION|394..689|296 nt|1| | | | |296+0=296| | |;285
