gene;anchor_index
Z73653|IGLV1-36*01|Homo sapiens|F|V-REGION|1..296|296 nt|1| | | | |296+0=296| | |;264
M94116|IGLV1-40*01|Homo sapiens|F|V-REGION|242..540|299 nt|1| | | | |299+0=299| | |;267
X53936|IGLV1-40*02|Homo sapiens|F|V-REGION|189..487|299 nt|1| | | | |299+0=299| | |;267
Z22192|IGLV1-40*03|Homo sapiens|F|V-REGION|1..297|297 nt|1| | | | |297+0=297| | |;267
M94118|IGLV1-41*01|Homo sapiens|ORF|V-REGION|401..696|296 nt|1| | | | |296+0=296| | |;264
D87010|IGLV1-41*02|Homo sapiens|P|V-REGION|3160..3455|296 nt|1| | | | |296+0=296| | |;264
Z73654|IGLV1-44*01|Homo sapiens|F|V-REGION|1..296|296 nt|1| | | | |296+0=296| | |;264
Z73663|IGLV1-47*01|Homo sapiens|F|V-REGION|1..296|296 nt|1| | | | |296+0=296| | |;264
D87016|IGLV1-47*02|Homo sapiens|F|V-REGION|27990..28285|296 nt|1| | | | |296+0=296| | |;264
M94112|IGLV1-50*01|Homo sapiens|ORF|V-REGION|287..585|299 nt|1| | | | |299+0=299| | |;267
Z73661|IGLV1-51*01|Homo sapiens|F|V-REGION|1..296|296 nt|1| | | | |296+0=296| | |;264
M30446|IGLV1-51*02|Homo sapiens|F|V-REGION|55..350|296 nt|1| | | | |296+0=296| | |;264
D87022|IGLV1-62*01|Homo sapiens|P|V-REGION|20331..20628|298 nt|1| | || |298+0=298| | |;285
Z73676|IGLV10-54*01|Homo sapiens|F|V-REGION|1..296|296 nt|1| | | | |296+0=296| | |;264
D86996|IGLV10-54*02|Homo sapiens|F|V-REGION|28518..28813|296 nt|1| | | | |296+0=296| | |;264
S70116|IGLV10-54*03|Homo sapiens|P|V-REGION|304..599|296 nt|1| | | | |296+0=296| | |;264
D86996|IGLV11-55*01|Homo sapiens|ORF|V-REGION|15396..15707|312 nt|1| | | | |312+0=312| | |;285
KM455555|IGLV11-55*02|Homo sapiens|ORF|V-REGION|176..487|312 nt|1| | | | |312+0=312| | |;285
Z73657|IGLV2-11*01|Homo sapiens|F|V-REGION|1..297|297 nt|1| | | | |297+0=297| | |;270
Z22198|IGLV2-11*02|Homo sapiens|F|V-REGION|1..297|297 nt|1| | | | |297+0=297| | |;270
Y12415|IGLV2-11*03|Homo sapiens|F|V-REGION|1..274|274 nt|2| | || |274+0=274|partial in 5' and in 3' | |;255
Z73664|IGLV2-14*01|Homo sapiens|F|V-REGION|1..297|297 nt|1| | | | |297+0=297| | |;267
L27822|IGLV2-14*02|Homo sapiens|F|V-REGION|175..471|297 nt|1| | | | |297+0=297| | |;267
Z73642|IGLV2-18*01|Homo sapiens|F|V-REGION|1..297|297 nt|1| | | | |297+0=297| | |;267
L27697|IGLV2-18*02|Homo sapiens|F|V-REGION|88..384|297 nt|1| | | | |297+0=297| | |;267
